Fs,100
Logging Type,0
Initialization time,36.5
Waiting time,3
ax,ay,az,gx,gy,gz
-208,-780,14760,-443,134,-85
-164,-828,14736,-422,185,-104
-208,-868,14908,-423,150,-94
-176,-756,14952,-421,144,-84
-140,-760,14808,-422,153,-79
-200,-728,14888,-422,118,-85
-120,-744,14808,-432,149,-88
-144,-824,14752,-418,131,-79
-136,-804,14928,-432,154,-83
-120,-712,14904,-435,140,-67
-216,-852,14776,-443,117,-79
-168,-804,14752,-420,136,-78
-156,-820,14852,-427,149,-83
-176,-880,14892,-431,163,-57
-56,-740,14996,-416,155,-91
-148,-804,14708,-422,121,-69
-200,-776,14920,-427,145,-101
-156,-848,14940,-416,165,-75
-136,-824,14888,-419,125,-94
-104,-800,14744,-441,151,-67
-220,-808,14812,-437,181,-92
-124,-784,14780,-425,162,-81
-148,-756,14860,-442,147,-99
-148,-792,14936,-435,167,-75
-248,-920,14824,-425,162,-91
-264,-820,14952,-435,156,-83
-136,-792,14864,-427,150,-93
-164,-724,14760,-422,143,-83
-172,-832,14816,-440,146,-75
-120,-816,14912,-434,148,-80
